0, continent, Europe
0, country, Vatican-City
0, population, 799
0, cases, new, None
0, cases, active, 0
0, cases, critical, None
0, cases, recovered, 29
0, cases, 1M_pop, 36295
0, cases, total, 29
0, deaths, new, None
0, deaths, 1M_pop, None
0, deaths, total, None
0, tests, 1M_pop, None
0, tests, total, None
0, day, 2024-03-25
0, time, 2024-03-25T09:45:18+00:00
1, continent, Africa
1, country, Western-Sahara
1, population, 626161
1, cases, new, None
1, cases, active, 0
1, cases, critical, None
1, cases, recovered, 9
1, cases, 1M_pop, 16
1, cases, total, 10
1, deaths, new, None
1, deaths, 1M_pop, 2
1, deaths, total, 1
1, tests, 1M_pop, None
1, tests, total, None
1, day, 2024-03-25
1, time, 2024-03-25T09:45:18+00:00
2, continent, None
2, country, MS-Zaandam
2, population, None
2, cases, new, None
2, cases, active, 0
2, cases, critical, None
2, cases, recovered, 7
2, cases, 1M_pop, None
2, cases, total, 9
2, deaths, new, None
2, deaths, 1M_pop, None
2, deaths, total, 2
2, tests, 1M_pop, None
2, tests, total, None
2, day, 2024-03-25
2, time, 2024-03-25T09:45:18+00:00
3, continent, Asia
3, country, China
3, population, 1448471400
3, cases, new, None
3, cases, active, 118977
3, cases, critical, None
3, cases, recovered, 379053
3, cases, 1M_pop, 347
3, cases, total, 503302
3, deaths, new, None
3, deaths, 1M_pop, 4
3, deaths, total, 5272
3, tests, 1M_pop, 110461
3, tests, total, 160000000
3, day, 2024-03-25
3, time, 2024-03-25T09:45:18+00:00
4, continent, Oceania
4, country, Tokelau
4, population, 1378
4, cases, new, None
4, cases, active, 80
4, cases, critical, None
4, cases, recovered, None
4, cases, 1M_pop, 58055
4, cases, total, 80
4, deaths, new, None
4, deaths, 1M_pop, None
4, deaths, total, None
4, tests, 1M_pop, None
4, tests, total, None
4, day, 2024-03-25
4, time, 2024-03-25T09:45:18+00:00
5, continent, Africa
5, country, Saint-Helena
5, population, 6115
5, cases, new, None
5, cases, active, 2164
5, cases, critical, None
5, cases, recovered, 2
5, cases, 1M_pop, 354211
5, cases, total, 2166
5, deaths, new, None
5, deaths, 1M_pop, None
5, deaths, total, None
5, tests, 1M_pop, None
5, tests, total, None
5, day, 2024-03-25
5, time, 2024-03-25T09:45:17+00:00
6, continent, South-America
6, country, Falkland-Islands
6, population, 3539
6, cases, new, None
6, cases, active, 0
6, cases, critical, None
6, cases, recovered, 1930
6, cases, 1M_pop, 545352
6, cases, total, 1930
6, deaths, new, None
6, deaths, 1M_pop, None
6, deaths, total, None
6, tests, 1M_pop, 2439107
6, tests, total, 8632
6, day, 2024-03-25
6, time, 2024-03-25T09:45:17+00:00
7, continent, North-America
7, country, Montserrat
7, population, 4965
7, cases, new, None
7, cases, active, 19
7, cases, critical, None
7, cases, recovered, 1376
7, cases, 1M_pop, 282578
7, cases, total, 1403
7, deaths, new, None
7, deaths, 1M_pop, 1611
7, deaths, total, 8
7, tests, 1M_pop, 3577442
7, tests, total, 17762
7, day, 2024-03-25
7, time, 2024-03-25T09:45:17+00:00
8, continent, None
8, country, Diamond-Princess
8, population, None
8, cases, new, None
8, cases, active, 0
8, cases, critical, None
8, cases, recovered, 699
8, cases, 1M_pop, None
8, cases, total, 712
8, deaths, new, None
8, deaths, 1M_pop, None
8, deaths, total, 13
8, tests, 1M_pop, None
8, tests, total, None
8, day, 2024-03-25
8, time, 2024-03-25T09:45:17+00:00
9, continent, Africa
9, country, Liberia
9, population, 5305117
9, cases, new, None
9, cases, active, 12
9, cases, critical, 2
9, cases, recovered, 7783
9, cases, 1M_pop, 1525
9, cases, total, 8090
9, deaths, new, None
9, deaths, 1M_pop, 56
9, deaths, total, 295
9, tests, 1M_pop, 26356
9, tests, total, 139824
9, day, 2024-03-25
9, time, 2024-03-25T09:45:17+00:00
10, continent, Oceania
10, country, Nauru
10, population, 10903
10, cases, new, None
10, cases, active, 45
10, cases, critical, None
10, cases, recovered, 5347
10, cases, 1M_pop, 494635
10, cases, total, 5393
10, deaths, new, None
10, deaths, 1M_pop, 92
10, deaths, total, 1
10, tests, 1M_pop, 1881042
10, tests, total, 20509
10, day, 2024-03-25
10, time, 2024-03-25T09:45:17+00:00
11, continent, Africa
11, country, Chad
11, population, 17413580
11, cases, new, None
11, cases, active, 2633
11, cases, critical, None
11, cases, recovered, 4874
11, cases, 1M_pop, 442
11, cases, total, 7701
11, deaths, new, None
11, deaths, 1M_pop, 11
11, deaths, total, 194
11, tests, 1M_pop, 10988
11, tests, total, 191341
11, day, 2024-03-25
11, time, 2024-03-25T09:45:17+00:00
12, continent, Oceania
12, country, Wallis-and-Futuna
12, population, 10982
12, cases, new, None
12, cases, active, 3104
12, cases, critical, None
12, cases, recovered, 438
12, cases, 1M_pop, 323256
12, cases, total, 3550
12, deaths, new, None
12, deaths, 1M_pop, 728
12, deaths, total, 8
12, tests, 1M_pop, 1867419
12, tests, total, 20508
12, day, 2024-03-25
12, time, 2024-03-25T09:45:17+00:00
13, continent, North-America
13, country, St-Barth
13, population, 9945
13, cases, new, None
13, cases, active, None
13, cases, critical, None
13, cases, recovered, None
13, cases, 1M_pop, 553746
13, cases, total, 5507
13, deaths, new, None
13, deaths, 1M_pop, 603
13, deaths, total, 6
13, tests, 1M_pop, 7908095
13, tests, total, 78646
13, day, 2024-03-25
13, time, 2024-03-25T09:45:17+00:00
14, continent, North-America
14, country, Saint-Kitts-and-Nevis
14, population, 53871
14, cases, new, None
14, cases, active, 0
14, cases, critical, None
14, cases, recovered, 6559
14, cases, 1M_pop, 122645
14, cases, total, 6607
14, deaths, new, None
14, deaths, 1M_pop, 891
14, deaths, total, 48
14, tests, 1M_pop, 2356704
14, tests, total, 126958
14, day, 2024-03-25
14, time, 2024-03-25T09:45:17+00:00
15, continent, Oceania
15, country, Kiribati
15, population, 123419
15, cases, new, None
15, cases, active, 2358
15, cases, critical, 3
15, cases, recovered, 2703
15, cases, 1M_pop, 41201
15, cases, total, 5085
15, deaths, new, None
15, deaths, 1M_pop, 194
15, deaths, total, 24
15, tests, 1M_pop, None
15, tests, total, None
15, day, 2024-03-25
15, time, 2024-03-25T09:45:17+00:00
16, continent, North-America
16, country, Anguilla
16, population, 15230
16, cases, new, None
16, cases, active, None
16, cases, critical, None
16, cases, recovered, None
16, cases, 1M_pop, 256336
16, cases, total, 3904
16, deaths, new, None
16, deaths, 1M_pop, 788
16, deaths, total, 12
16, tests, 1M_pop, 3373736
16, tests, total, 51382
16, day, 2024-03-25
16, time, 2024-03-25T09:45:17+00:00
17, continent, North-America
17, country, Saint-Pierre-Miquelon
17, population, 5759
17, cases, new, None
17, cases, active, 1001
17, cases, critical, None
17, cases, recovered, 2449
17, cases, 1M_pop, 599410
17, cases, total, 3452
17, deaths, new, None
17, deaths, 1M_pop, 347
17, deaths, total, 2
17, tests, 1M_pop, 4410488
17, tests, total, 25400
17, day, 2024-03-25
17, time, 2024-03-25T09:45:17+00:00
18, continent, North-America
18, country, Antigua-and-Barbuda
18, population, 99509
18, cases, new, None
18, cases, active, 6
18, cases, critical, None
18, cases, recovered, 8954
18, cases, 1M_pop, 91509
18, cases, total, 9106
18, deaths, new, None
18, deaths, 1M_pop, 1467
18, deaths, total, 146
18, tests, 1M_pop, 189943
18, tests, total, 18901
18, day, 2024-03-25
18, time, 2024-03-25T09:45:17+00:00
19, continent, Oceania
19, country, Tuvalu
19, population, 12066
19, cases, new, None
19, cases, active, None
19, cases, critical, None
19, cases, recovered, None
19, cases, 1M_pop, 243909
19, cases, total, 2943
19, deaths, new, None
19, deaths, 1M_pop, 83
19, deaths, total, 1
19, tests, 1M_pop, None
19, tests, total, None
19, day, 2024-03-25
19, time, 2024-03-25T09:45:17+00:00
20, continent, North-America
20, country, British-Virgin-Islands
20, population, 30596
